mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
tess,1095.01,375223080,PC,1.4821386,2459307.385949,2.1867078,2102.6568299,13.7339261,2962.2418039,7066.0,3.78,2.6647301,,1
tess,1096.01,375225453,FP,0.9209526,2459307.93577,1.8602735,360.8801529,5.7349089,3430.7622437,6553.0,3.65,2.8908899,,0
tess,1097.01,360630575,CP,9.188506,2459376.410518,2.492,460.0,2.16591,786.0,5876.0,4.48,0.98,,1
tess,1097.02,360630575,CP,13.9028391,2459344.461827,2.1264429,647.2701039,2.6136848,756.6987586,5876.0,4.48,0.983215,,1
tess,1098.01,383390264,CP,10.1826983,2458629.909082,2.8275109,667.4752458,3.0538057,957.1991659,6153.0,4.34814,1.14582,,1
tess,1099.01,290348383,CP,6.441006,2460140.220927,1.812,914.0,2.56374,853.0,4867.0,4.438,0.8,,1
tess,110.01,281459670,KP,3.1743504,2458328.039934,2.751086,15457.3247576,14.9172256,1320.6518234,5943.0,4.42524,1.15706,,1
tess,1100.01,318608749,FP,20.0731588,2459044.494531,3.8449215,1152.9645461,4.0506906,736.1368293,6033.0,4.37,1.14849,,0
tess,1101.01,271581073,FP,2.66903,2459058.79277,1.548,3110.0,9.36823,1268.0,5803.5,4.07,1.56,,0
tess,1102.01,311890977,FP,6.63371,2458627.80423,2.122,1555.34,2.75375,610.0,4138.1,4.54,0.63,,0
tess,1103.01,351603103,PC,2.94308,2459037.655526,4.073,4490.0,45.3525,1976.0,4437.0,,3.13,,1
tess,1104.01,451599528,FP,341.2811281,2459367.034327,6.303026,972.5797241,4.7531892,846.173434,6058.6,4.2,1.39203,,0
tess,1105.01,274151135,PC,10.8680523,2460086.979446,2.375,1553.0,2.90726,594.0,4664.0,4.55,0.76,,1
tess,1106.01,384513078,PC,11.1149,2458630.71937,2.26,900.0,14.7645,603.0,5042.0,,4.94,,1
tess,1107.01,394561119,CP,4.0782392,2459336.073646,4.8475616,6046.6959687,13.898174,1617.8267296,6501.0,4.08,1.74836,,1
tess,1108.01,295599256,FP,7.14386,2458655.54872,1.467,11146.4,22.1531,,7860.0,4.15,1.91,,0
tess,1109.01,50309953,FP,7.04083,2459083.35168,2.979,1580.0,8.46404,1505.0,5317.0,4.49,0.91,,0
tess,111.01,355703913,KP,2.1061569,2458326.105486,1.4688934,12142.2238514,13.086872,1308.0417533,5380.0,4.4337,0.940697,,1
tess,1110.01,446549905,FP,2.4545635,2460146.990136,2.321,4248.0,11.1276,1899.0,6610.0,4.15,1.64,,0
tess,1111.01,412014494,FP,11.4756978,2460131.889805,0.808,8341.0,14.1098,512.0,7262.0,4.0,2.13,,0
tess,1112.01,369864738,FP,2.78186,2458626.54168,2.456,490.0,4.92567,1680.0,6819.0,3.92,2.21,,0
tess,1113.01,290348382,FP,6.4410082,2460140.221205,1.798,7076.0,4.59203,471.0,3469.0,4.71,0.53,,0
tess,1114.01,409934330,APC,2.4887726,2460148.616195,2.632,4852.0,,1344.9531805,8048.0,4.438,,,0
tess,1115.01,379286801,APC,4.45199,2458658.32747,2.109,8483.38,15.8858,1571.0,6708.3,4.2,1.57,,0
tess,1116.01,304100538,PC,5.0100708,2458325.661906,2.0644756,409.4812214,2.3107394,971.6657708,5551.0,4.46214,0.906282,,1
tess,1117.01,295541511,PC,2.2281625,2459386.963814,2.015,630.0,2.56778,1434.0,5731.0,4.43,1.02,,1
tess,1118.01,90919952,FP,4.13812,2458660.16316,3.911,5560.0,,1386.0,4898.4,,,,0
tess,1119.01,261369656,APC,10.95663,2458666.52199,3.588,3830.0,23.9726,1389.0,6456.0,3.92,2.07,,0
tess,112.01,388104525,KP,2.4997996,2460069.773646,2.865171,14621.2059647,13.8516093,1399.9894384,5650.0,4.28867,1.13732,,1
tess,1120.01,143257766,FP,1.66226,2458656.45082,3.321,6030.0,13.3343,2561.0,7301.0,4.23,1.64,,0
tess,1121.01,24094603,FP,4.07611,2458658.61052,2.062,1454.18,,,,,,,0
tess,1122.01,304774444,FP,3.6245513,2460115.852574,3.042,1299.0,4.3503,,6317.0,,1.38,,0
tess,1123.01,469782185,APC,1.20928,2458658.04087,1.886,11883.8,15.1764,,5159.8,4.23,1.27,,0
tess,1124.01,128790976,APC,3.5187707,2460149.391758,2.408,5634.0,14.0061,1863.0,6690.0,4.24,1.49,,0
tess,1125.01,80166433,PC,0.7724825,2459036.495091,1.3744974,211.3168519,4.1624907,3996.2877922,8271.0,3.95,2.5027299,,1
tess,119.02,278683844,PC,10.6917268,2460038.721177,3.002,535.0,1.79811,710.0,5332.0,4.56429,0.82,,1
tess,1190.01,287196418,APC,3.6950015,2460553.884666,4.515,7655.0,14.1288,1904.0,7106.7,4.2,1.63,,0
