mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
kepler,K03350.01,7136958,FALSE POSITIVE,29.015852933,2454971.402477,7.19844,71432.1,1183.06,592.0,5783.0,4.415,0.941,0.841,0.0
kepler,K03351.01,1995732,FALSE POSITIVE,77.36241476,2454972.095626,12.1317,96585.8,41.66,362.0,5359.0,4.57,0.79,0.848,0.0
kepler,K07761.01,6069674,FALSE POSITIVE,495.71095,2455283.0348,4.514,443.1,4.41,330.0,6054.0,3.911,1.953,1.135,0.0
kepler,K03352.01,8081239,CONFIRMED,10.35857039,2454971.30794,2.577,273.7,1.68,860.0,5893.0,4.423,1.02,1.005,1.0
kepler,K03423.01,3745559,CONFIRMED,30.2541186,2454969.63873,2.134,576.3,2.8,660.0,6277.0,4.402,1.161,1.239,1.0
kepler,K03424.01,8356054,FALSE POSITIVE,17.081202417,2454967.296431,7.20617,134143.0,39.24,585.0,5431.0,4.623,0.708,0.769,0.0
kepler,K03425.01,9117416,CONFIRMED,20.034708,2454978.4541,6.49,124.4,2.24,967.0,6120.0,3.934,2.0,1.251,1.0
kepler,K03425.02,9117416,CONFIRMED,3.15722086,2454964.69915,3.762,49.7,1.41,1791.0,6120.0,3.934,2.0,1.251,1.0
kepler,K03496.01,7517261,CONFIRMED,23.2385587,2454976.5274,8.432,161.2,2.18,903.0,6602.0,4.108,1.685,1.333,1.0
kepler,K07734.01,5653795,FALSE POSITIVE,118.314913,2455048.6117,4.79,216.3,7.23,786.0,6190.0,3.34,4.763,1.811,0.0
kepler,K03497.01,8424002,CONFIRMED,20.35971899,2454967.29123,2.1521,345.7,0.8,276.0,3419.0,4.904,0.344,0.346,1.0
kepler,K03498.01,8635938,FALSE POSITIVE,43.798566,2455005.58505,6.401,290.4,48.52,721.0,5611.0,3.842,2.227,1.259,0.0
kepler,K03578.01,10464666,FALSE POSITIVE,131.73630485,2455027.5833896,5.28476,58381.2,54.38,413.0,5102.0,3.962,1.669,0.932,0.0
kepler,K03579.01,5024292,FALSE POSITIVE,4.301031137,2454967.44907,5.65214,204153.0,93.01,1454.0,6386.0,4.208,1.548,1.408,0.0
kepler,K03580.01,4659255,FALSE POSITIVE,198.01379181,2455067.151682,9.72673,142501.0,38.49,260.0,5359.0,4.566,0.708,0.673,0.0
kepler,K03581.01,8263746,FALSE POSITIVE,10.9938268,2454971.805226,5.0746,419208.0,52.69,627.0,4856.0,4.554,0.743,0.721,0.0
kepler,K01837.02,10657406,CONFIRMED,1.682934607,2454964.96807,1.8846,142.7,1.06,1270.0,5201.0,4.573,0.834,0.948,1.0
kepler,K03582.01,3428468,FALSE POSITIVE,114.90862419,2455032.450746,7.66397,196112.0,42.78,259.0,4412.0,4.565,0.737,0.729,0.0
kepler,K03353.01,7091432,CONFIRMED,11.55532445,2454967.12977,3.499,250.0,1.7,674.0,5149.0,4.506,0.803,0.755,1.0
kepler,K03356.01,6368230,CONFIRMED,26.0841212,2454982.4437,6.141,259.7,1.35,598.0,6083.0,4.563,0.835,0.933,1.0
kepler,K03357.01,7115291,FALSE POSITIVE,52.802767576,2455000.270294,5.6184,52110.3,75.82,472.0,5835.0,4.492,0.901,0.918,0.0
kepler,K03427.01,9907505,FALSE POSITIVE,39.206808648,2454975.4611109,6.24701,186978.0,50.2,516.0,5945.0,4.545,0.861,0.95,0.0
kepler,K03428.01,9027909,CONFIRMED,64.6589166,2455003.17972,7.71,235.4,2.12,535.0,5821.0,4.172,1.395,1.054,1.0
