kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass
6928906,K03242.01,FALSE POSITIVE,1.54945486,132.47682,6.698,21.8,1.34,3006.0,7382.0,3.838,2.804,1.976
9821151,K03243.01,FALSE POSITIVE,8.42943991,132.29198,2.441,89.1,1.19,1029.0,6353.0,4.375,1.132,1.104
8073705,K03245.01,CONFIRMED,10.60052083,132.98523,4.509,60.9,1.09,987.0,6035.0,4.212,1.303,1.009
8330548,K01132.02,FALSE POSITIVE,0.9570701,131.7767386,2.75,,,,,,,
4271474,K03324.01,CONFIRMED,21.8634638,145.2419,3.542,871.0,2.37,551.0,5383.0,4.587,0.789,0.885
5130983,K03325.01,FALSE POSITIVE,86.4392931,144.58294,6.534,1175.1,35.31,442.0,6208.0,4.454,1.024,1.086
11497958,K01422.04,CONFIRMED,63.3354719,162.6161,3.651,983.0,1.18,202.0,3526.0,4.866,0.383,0.394
11093538,K03326.01,FALSE POSITIVE,14.77820911,144.09725,5.395,10774.0,44.48,809.0,6258.0,4.442,1.046,1.102
11044779,K03327.01,FALSE POSITIVE,15.60862948,144.30211,6.6957,34356.0,39.42,648.0,5569.0,4.566,0.829,0.928
6438379,K04785.01,FALSE POSITIVE,389.14115,309.5721,7.93,347.4,1.67,250.0,6043.0,4.505,0.894,0.933
9145415,K04786.01,FALSE POSITIVE,365.78863,187.5436,12.76,885.0,2.21,215.0,5407.0,4.585,0.752,0.794
4545926,K04787.01,FALSE POSITIVE,2.4826619,133.78028,2.115,37.0,0.8,1619.0,6356.0,4.292,1.225,1.068
9396760,K04788.01,FALSE POSITIVE,2.17811908,132.02334,1.468,74.0,0.8,1412.0,6039.0,4.505,0.921,0.992
5119619,K04789.01,FALSE POSITIVE,1.11205787,132.01568,1.459,118.7,1.02,1799.0,6098.0,4.488,0.932,0.976
9582496,K04858.01,FALSE POSITIVE,224.447413,293.1378,4.986,651.0,2.05,260.0,5489.0,4.574,0.798,0.872
7094944,K04859.01,CANDIDATE,7.5019743,135.0995,2.582,248.0,1.19,709.0,4807.0,4.546,0.758,0.737
3343281,K04860.01,FALSE POSITIVE,21.8660922,138.517,2.03,301.6,1.88,730.0,6309.0,4.402,1.077,1.062
2573108,K03217.01,FALSE POSITIVE,5.09506,132.4511,5.73,23.6,2.14,2247.0,6700.0,3.48,4.146,1.893
6425597,K04861.01,CANDIDATE,29.1206519,138.4718,2.89,415.5,1.6,528.0,5671.0,4.582,0.788,0.872
9885417,K03246.01,CONFIRMED,0.689967868,131.63498,1.1688,122.9,0.78,1539.0,4872.0,4.615,0.726,0.814
3336476,K03247.01,FALSE POSITIVE,1.89132292,132.6489,5.607,16.0,0.9,2799.0,8482.0,4.089,2.106,1.987
10917433,K03248.01,CANDIDATE,6.91261536,132.15638,2.359,34.4,0.64,981.0,5761.0,4.383,1.044,0.96
5091479,K07715.01,CANDIDATE,25.8616058,140.2048,7.78,123.0,1.12,613.0,6067.0,4.524,0.884,0.954
9083564,K03249.01,FALSE POSITIVE,0.918420801,131.58576,3.533,56.7,1.14,2374.0,6210.0,4.166,1.434,1.098
7335713,K03250.01,FALSE POSITIVE,0.573709256,131.93854,1.4932,131.2,7.05,4415.0,5261.0,3.13,5.769,1.639
8331612,K03318.01,CONFIRMED,13.8353959,134.3082,4.961,818.0,3.78,809.0,6020.0,4.403,1.057,1.03
